FILENAME	uppercase	perc	lowercase	perc	Ns	perc	gaps	perc	dots	perc	total
human_ancestor_1.fa	201632405	81.55%	15546213	6.29%	1010199	0.41%	3488092	1.41%	25572810	10.34%	247249719
human_ancestor_2.fa	214091544	88.12%	15627788	6.43%	1053741	0.43%	3371581	1.39%	8806495	3.62%	242951149
human_ancestor_3.fa	179241953	89.84%	11219738	5.62%	465547	0.23%	2190553	1.10%	6384036	3.20%	199501827
human_ancestor_4.fa	169516469	88.63%	12247006	6.40%	680015	0.36%	2861592	1.50%	5967981	3.12%	191273063
human_ancestor_5.fa	160937663	88.99%	11733043	6.49%	574209	0.32%	2165560	1.20%	5447391	3.01%	180857866
human_ancestor_6.fa	150777650	88.23%	11244241	6.58%	618218	0.36%	1982558	1.16%	6277325	3.67%	170899992
human_ancestor_7.fa	134893257	84.93%	12984795	8.18%	938480	0.59%	2207457	1.39%	7797435	4.91%	158821424
human_ancestor_8.fa	127070924	86.87%	9160341	6.26%	772069	0.53%	2001272	1.37%	7270220	4.97%	146274826
human_ancestor_9.fa	102867096	73.33%	10310183	7.35%	461048	0.33%	1640135	1.17%	24994790	17.82%	140273252
human_ancestor_10.fa	116338684	85.94%	10871242	8.03%	679439	0.50%	1684576	1.24%	5800796	4.28%	135374737
human_ancestor_11.fa	114594506	85.23%	10116444	7.52%	588352	0.44%	1761629	1.31%	7391453	5.50%	134452384
human_ancestor_12.fa	117273937	88.61%	8839234	6.68%	435618	0.33%	1912287	1.44%	3888458	2.94%	132349534
human_ancestor_13.fa	86835855	76.08%	6546036	5.73%	505677	0.44%	1033767	0.91%	19221645	16.84%	114142980
human_ancestor_14.fa	79895688	75.11%	5803235	5.46%	315901	0.30%	1126552	1.06%	19227209	18.08%	106368585
human_ancestor_15.fa	70598070	70.36%	5917215	5.90%	500360	0.50%	961471	0.96%	22361799	22.29%	100338915
human_ancestor_16.fa	65513301	73.75%	7499742	8.44%	473252	0.53%	1040434	1.17%	14300525	16.10%	88827254
human_ancestor_17.fa	66817480	84.82%	7360372	9.34%	683743	0.87%	1065078	1.35%	2848069	3.62%	78774742
human_ancestor_18.fa	67769909	89.03%	4576346	6.01%	193916	0.25%	856377	1.13%	2720605	3.57%	76117153
human_ancestor_19.fa	40679905	63.75%	9463456	14.83%	999131	1.57%	1899299	2.98%	10769860	16.88%	63811651
human_ancestor_20.fa	53670942	85.96%	4161606	6.67%	226115	0.36%	825796	1.32%	3551505	5.69%	62435964
human_ancestor_21.fa	30753738	65.51%	2128127	4.53%	69368	0.15%	313405	0.67%	13679685	29.14%	46944323
human_ancestor_22.fa	28172129	56.69%	4258636	8.57%	311659	0.63%	583673	1.17%	16365335	32.93%	49691432
human_ancestor_X.fa	110510426	71.34%	23042325	14.87%	2087513	1.35%	3133010	2.02%	16140480	10.42%	154913754
human_ancestor_Y.fa	220409	0.38%	627199	1.09%	5282254	9.14%	6872092	11.89%	44771000	77.49%	57772954
